breed,category,characteristic,star
Kerry Blue Terrier, All Around Friendliness,Kid-Friendly,4
Kerry Blue Terrier, All Around Friendliness,Dog Friendly,2
Kerry Blue Terrier, All Around Friendliness,Friendly Toward Strangers,5
Kerry Blue Terrier, Health And Grooming Needs,Amount Of Shedding,1
Kerry Blue Terrier, Health And Grooming Needs,Drooling Potential,1
Kerry Blue Terrier, Health And Grooming Needs,Easy To Groom,2
Kerry Blue Terrier, Health And Grooming Needs,General Health,3
Kerry Blue Terrier, Health And Grooming Needs,Potential For Weight Gain,3
Kerry Blue Terrier, Health And Grooming Needs,Size,3
Kerry Blue Terrier, Trainability,Easy To Train,4
Kerry Blue Terrier, Trainability,Intelligence,4
Kerry Blue Terrier, Trainability,Potential For Mouthiness,4
Kerry Blue Terrier, Trainability,Prey Drive,3
Kerry Blue Terrier, Trainability,Tendency To Bark Or Howl,4
Kerry Blue Terrier, Trainability,Wanderlust Potential,3
Kerry Blue Terrier, Physical Needs,Energy Level,4
Kerry Blue Terrier, Physical Needs,Intensity,4
Kerry Blue Terrier, Physical Needs,Exercise Needs,5
Kerry Blue Terrier, Physical Needs,Potential For Playfulness,4
Labmaraner, Adaptability,Adapts Well To Apartment Living,1
Labmaraner, Adaptability,Good For Novice Owners,4
Labmaraner, Adaptability,Sensitivity Level,4
Labmaraner, Adaptability,Tolerates Being Alone,1
Labmaraner, Adaptability,Tolerates Cold Weather,3
Labmaraner, Adaptability,Tolerates Hot Weather,3
Labmaraner, All Around Friendliness,Affectionate With Family,4
Labmaraner, All Around Friendliness,Kid-Friendly,5
Labmaraner, All Around Friendliness,Dog Friendly,4
Labmaraner, All Around Friendliness,Friendly Toward Strangers,3
Labmaraner, Health And Grooming Needs,Amount Of Shedding,1
Labmaraner, Health And Grooming Needs,Drooling Potential,2
Labmaraner, Health And Grooming Needs,Easy To Groom,4
Labmaraner, Health And Grooming Needs,General Health,4
Labmaraner, Health And Grooming Needs,Potential For Weight Gain,4
Labmaraner, Health And Grooming Needs,Size,4
Labmaraner, Trainability,Easy To Train,4
Labmaraner, Trainability,Intelligence,4
Labmaraner, Trainability,Potential For Mouthiness,3
Labmaraner, Trainability,Prey Drive,3
Labmaraner, Trainability,Tendency To Bark Or Howl,3
Labmaraner, Trainability,Wanderlust Potential,4
Labmaraner, Physical Needs,Energy Level,4
Labmaraner, Physical Needs,Intensity,3
Labmaraner, Physical Needs,Exercise Needs,5
Labmaraner, Physical Needs,Potential For Playfulness,5
Karelian Bear Dog, Adaptability,Adapts Well To Apartment Living,2
Karelian Bear Dog, Adaptability,Good For Novice Owners,1
Karelian Bear Dog, Adaptability,Sensitivity Level,4
Karelian Bear Dog, Adaptability,Tolerates Being Alone,2
Karelian Bear Dog, Adaptability,Tolerates Cold Weather,5
Karelian Bear Dog, Adaptability,Tolerates Hot Weather,3
Karelian Bear Dog, All Around Friendliness,Affectionate With Family,4
Karelian Bear Dog, All Around Friendliness,Kid-Friendly,3
Karelian Bear Dog, All Around Friendliness,Dog Friendly,1
Karelian Bear Dog, All Around Friendliness,Friendly Toward Strangers,2
Karelian Bear Dog, Health And Grooming Needs,Amount Of Shedding,3
Karelian Bear Dog, Health And Grooming Needs,Drooling Potential,1
Karelian Bear Dog, Health And Grooming Needs,Easy To Groom,4
Karelian Bear Dog, Health And Grooming Needs,General Health,4
Karelian Bear Dog, Health And Grooming Needs,Potential For Weight Gain,2
Karelian Bear Dog, Health And Grooming Needs,Size,3
Karelian Bear Dog, Trainability,Easy To Train,2
Karelian Bear Dog, Trainability,Intelligence,4
Karelian Bear Dog, Trainability,Potential For Mouthiness,4
Karelian Bear Dog, Trainability,Prey Drive,5
Karelian Bear Dog, Trainability,Tendency To Bark Or Howl,4
Karelian Bear Dog, Trainability,Wanderlust Potential,5
Karelian Bear Dog, Physical Needs,Energy Level,4
Karelian Bear Dog, Physical Needs,Intensity,5
Karelian Bear Dog, Physical Needs,Exercise Needs,4
Karelian Bear Dog, Physical Needs,Potential For Playfulness,4
Kai Ken, Adaptability,Adapts Well To Apartment Living,2
Kai Ken, Adaptability,Good For Novice Owners,2
Kai Ken, Adaptability,Sensitivity Level,2
Kai Ken, Adaptability,Tolerates Being Alone,3
Kai Ken, Adaptability,Tolerates Cold Weather,4
Kai Ken, Adaptability,Tolerates Hot Weather,3
Kai Ken, All Around Friendliness,Affectionate With Family,4
Kai Ken, All Around Friendliness,Kid-Friendly,4
Kai Ken, All Around Friendliness,Dog Friendly,3
Kai Ken, All Around Friendliness,Friendly Toward Strangers,2
Kai Ken, Health And Grooming Needs,Amount Of Shedding,4
Kai Ken, Health And Grooming Needs,Drooling Potential,2
Kai Ken, Health And Grooming Needs,Easy To Groom,2
Kai Ken, Health And Grooming Needs,General Health,4
Kai Ken, Health And Grooming Needs,Potential For Weight Gain,3
Kai Ken, Health And Grooming Needs,Size,3
Kai Ken, Trainability,Easy To Train,3
Kai Ken, Trainability,Intelligence,5
Kai Ken, Trainability,Potential For Mouthiness,2
Kai Ken, Trainability,Prey Drive,5
Kai Ken, Trainability,Tendency To Bark Or Howl,2
Kai Ken, Trainability,Wanderlust Potential,3
Kai Ken, Physical Needs,Energy Level,5
Kai Ken, Physical Needs,Intensity,4
Kai Ken, Physical Needs,Exercise Needs,5
Kai Ken, Physical Needs,Potential For Playfulness,3
Korean Jindo Dog, Adaptability,Adapts Well To Apartment Living,3
Korean Jindo Dog, Adaptability,Good For Novice Owners,2
Korean Jindo Dog, Adaptability,Sensitivity Level,3
Korean Jindo Dog, Adaptability,Tolerates Being Alone,2
Korean Jindo Dog, Adaptability,Tolerates Cold Weather,5
Korean Jindo Dog, Adaptability,Tolerates Hot Weather,2
Korean Jindo Dog, All Around Friendliness,Affectionate With Family,5
Korean Jindo Dog, All Around Friendliness,Kid-Friendly,3
Korean Jindo Dog, All Around Friendliness,Dog Friendly,3
Korean Jindo Dog, All Around Friendliness,Friendly Toward Strangers,4
Korean Jindo Dog, Health And Grooming Needs,Amount Of Shedding,5
Korean Jindo Dog, Health And Grooming Needs,Drooling Potential,1
Korean Jindo Dog, Health And Grooming Needs,Easy To Groom,1
Korean Jindo Dog, Health And Grooming Needs,General Health,4
Korean Jindo Dog, Health And Grooming Needs,Potential For Weight Gain,2
Korean Jindo Dog, Health And Grooming Needs,Size,3
Korean Jindo Dog, Trainability,Easy To Train,2
Korean Jindo Dog, Trainability,Intelligence,5
Korean Jindo Dog, Trainability,Potential For Mouthiness,2
Korean Jindo Dog, Trainability,Prey Drive,5
Korean Jindo Dog, Trainability,Wanderlust Potential,5
Korean Jindo Dog, Physical Needs,Energy Level,4
Korean Jindo Dog, Physical Needs,Intensity,4
Korean Jindo Dog, Physical Needs,Exercise Needs,5
Korean Jindo Dog, Physical Needs,Potential For Playfulness,4
Japanese Spitz, Adaptability,Adapts Well To Apartment Living,4
Japanese Spitz, Adaptability,Good For Novice Owners,4
Japanese Spitz, Adaptability,Sensitivity Level,3
Japanese Spitz, Adaptability,Tolerates Being Alone,2
Japanese Spitz, Adaptability,Tolerates Cold Weather,4
Japanese Spitz, Adaptability,Tolerates Hot Weather,3
Japanese Spitz, All Around Friendliness,Affectionate With Family,4
Japanese Spitz, All Around Friendliness,Kid-Friendly,5
Japanese Spitz, All Around Friendliness,Dog Friendly,4
Japanese Spitz, All Around Friendliness,Friendly Toward Strangers,2
Japanese Spitz, Health And Grooming Needs,Amount Of Shedding,3
Japanese Spitz, Health And Grooming Needs,Drooling Potential,1
Japanese Spitz, Health And Grooming Needs,Easy To Groom,4
Japanese Spitz, Health And Grooming Needs,General Health,3
Japanese Spitz, Health And Grooming Needs,Potential For Weight Gain,2
Japanese Spitz, Health And Grooming Needs,Size,2
Japanese Spitz, Trainability,Easy To Train,4
Japanese Spitz, Trainability,Intelligence,4
Japanese Spitz, Trainability,Potential For Mouthiness,2
Japanese Spitz, Trainability,Prey Drive,2
Japanese Spitz, Trainability,Tendency To Bark Or Howl,4
Japanese Spitz, Trainability,Wanderlust Potential,2
Japanese Spitz, Physical Needs,Energy Level,3
Japanese Spitz, Physical Needs,Intensity,2
Japanese Spitz, Physical Needs,Exercise Needs,3
Japanese Spitz, Physical Needs,Potential For Playfulness,4
Japanese Chin, Adaptability,Adapts Well To Apartment Living,5
Japanese Chin, Adaptability,Good For Novice Owners,4
Japanese Chin, Adaptability,Sensitivity Level,3
Japanese Chin, Adaptability,Tolerates Being Alone,1
Japanese Chin, Adaptability,Tolerates Cold Weather,3
Japanese Chin, Adaptability,Tolerates Hot Weather,2
Japanese Chin, All Around Friendliness,Affectionate With Family,3
Japanese Chin, All Around Friendliness,Kid-Friendly,3
Japanese Chin, All Around Friendliness,Dog Friendly,3
Japanese Chin, All Around Friendliness,Friendly Toward Strangers,4
Japanese Chin, Health And Grooming Needs,Amount Of Shedding,3
Japanese Chin, Health And Grooming Needs,Drooling Potential,1
Japanese Chin, Health And Grooming Needs,Easy To Groom,3
Japanese Chin, Health And Grooming Needs,General Health,3
Japanese Chin, Health And Grooming Needs,Potential For Weight Gain,3
Japanese Chin, Health And Grooming Needs,Size,1
Japanese Chin, Trainability,Easy To Train,3
Japanese Chin, Trainability,Intelligence,3
Japanese Chin, Trainability,Potential For Mouthiness,4
Japanese Chin, Trainability,Prey Drive,3
Japanese Chin, Trainability,Tendency To Bark Or Howl,3
Japanese Chin, Trainability,Wanderlust Potential,1
Japanese Chin, Physical Needs,Energy Level,2
Japanese Chin, Physical Needs,Intensity,1
Japanese Chin, Physical Needs,Exercise Needs,2
Japanese Chin, Physical Needs,Potential For Playfulness,4
Jackshund, Adaptability,Adapts Well To Apartment Living,4
Jackshund, Adaptability,Good For Novice Owners,2
Jackshund, Adaptability,Sensitivity Level,3
Jackshund, Adaptability,Tolerates Being Alone,3
Jackshund, Adaptability,Tolerates Cold Weather,3
Jackshund, Adaptability,Tolerates Hot Weather,3
Jackshund, All Around Friendliness,Affectionate With Family,5
Jackshund, All Around Friendliness,Kid-Friendly,4
Jackshund, All Around Friendliness,Dog Friendly,4
Jackshund, All Around Friendliness,Friendly Toward Strangers,3
Jackshund, Health And Grooming Needs,Amount Of Shedding,3
Jackshund, Health And Grooming Needs,Drooling Potential,1
Jackshund, Health And Grooming Needs,Easy To Groom,3
Jackshund, Health And Grooming Needs,General Health,3
Jackshund, Health And Grooming Needs,Potential For Weight Gain,5
Jackshund, Health And Grooming Needs,Size,2
Jackshund, Trainability,Easy To Train,3
Jackshund, Trainability,Intelligence,5
Jackshund, Trainability,Potential For Mouthiness,4
Jackshund, Trainability,Prey Drive,5
Jackshund, Trainability,Tendency To Bark Or Howl,5
Jackshund, Trainability,Wanderlust Potential,5
Jackshund, Physical Needs,Energy Level,4
Jackshund, Physical Needs,Intensity,4
Jackshund, Physical Needs,Exercise Needs,4
Jackshund, Physical Needs,Potential For Playfulness,5
Jack Russell Terrier, Adaptability,Adapts Well To Apartment Living,3
Jack Russell Terrier, Adaptability,Good For Novice Owners,2
Jack Russell Terrier, Adaptability,Sensitivity Level,3
Jack Russell Terrier, Adaptability,Tolerates Being Alone,3
Jack Russell Terrier, Adaptability,Tolerates Cold Weather,4
Jack Russell Terrier, Adaptability,Tolerates Hot Weather,3
Jack Russell Terrier, All Around Friendliness,Affectionate With Family,5
Jack Russell Terrier, All Around Friendliness,Kid-Friendly,4
Jack Russell Terrier, All Around Friendliness,Dog Friendly,5
Jack Russell Terrier, All Around Friendliness,Friendly Toward Strangers,4
Jack Russell Terrier, Health And Grooming Needs,Amount Of Shedding,3
Jack Russell Terrier, Health And Grooming Needs,Drooling Potential,1
Jack Russell Terrier, Health And Grooming Needs,Easy To Groom,3
Jack Russell Terrier, Health And Grooming Needs,General Health,4
Jack Russell Terrier, Health And Grooming Needs,Potential For Weight Gain,4
Jack Russell Terrier, Health And Grooming Needs,Size,2
Jack Russell Terrier, Trainability,Easy To Train,4
Jack Russell Terrier, Trainability,Intelligence,5
Jack Russell Terrier, Trainability,Potential For Mouthiness,4
Jack Russell Terrier, Trainability,Prey Drive,5
Jack Russell Terrier, Trainability,Tendency To Bark Or Howl,4
Jack Russell Terrier, Trainability,Wanderlust Potential,4
Jack Russell Terrier, Physical Needs,Energy Level,5
Jack Russell Terrier, Physical Needs,Intensity,5
Jack Russell Terrier, Physical Needs,Exercise Needs,5
Jack Russell Terrier, Physical Needs,Potential For Playfulness,5
Lancashire Heeler, Adaptability,Adapts Well To Apartment Living,2
Lancashire Heeler, Adaptability,Good For Novice Owners,2
Lancashire Heeler, Adaptability,Sensitivity Level,3
Lancashire Heeler, Adaptability,Tolerates Being Alone,3
Lancashire Heeler, Adaptability,Tolerates Cold Weather,3
Lancashire Heeler, Adaptability,Tolerates Hot Weather,3
Lancashire Heeler, All Around Friendliness,Affectionate With Family,4
Lancashire Heeler, All Around Friendliness,Kid-Friendly,3
Lancashire Heeler, All Around Friendliness,Dog Friendly,3
Lancashire Heeler, All Around Friendliness,Friendly Toward Strangers,2
Lancashire Heeler, Health And Grooming Needs,Amount Of Shedding,3
Lancashire Heeler, Health And Grooming Needs,Drooling Potential,1
Lancashire Heeler, Health And Grooming Needs,Easy To Groom,4
Lancashire Heeler, Health And Grooming Needs,General Health,4
Lancashire Heeler, Health And Grooming Needs,Potential For Weight Gain,4
Lancashire Heeler, Health And Grooming Needs,Size,1
Lancashire Heeler, Trainability,Easy To Train,3
Lancashire Heeler, Trainability,Intelligence,4
Lancashire Heeler, Trainability,Potential For Mouthiness,2
Lancashire Heeler, Trainability,Prey Drive,2
Lancashire Heeler, Trainability,Tendency To Bark Or Howl,2
Lancashire Heeler, Trainability,Wanderlust Potential,4
Lancashire Heeler, Physical Needs,Energy Level,4
Lancashire Heeler, Physical Needs,Intensity,4
Lancashire Heeler, Physical Needs,Exercise Needs,3
Lancashire Heeler, Physical Needs,Potential For Playfulness,4
Labernese, Adaptability,Adapts Well To Apartment Living,2
Labernese, Adaptability,Good For Novice Owners,4
Labernese, Adaptability,Sensitivity Level,4
Labernese, Adaptability,Tolerates Being Alone,1
Labernese, Adaptability,Tolerates Cold Weather,4
Labernese, Adaptability,Tolerates Hot Weather,2
Labernese, All Around Friendliness,Affectionate With Family,4
Labernese, All Around Friendliness,Kid-Friendly,5
Labernese, All Around Friendliness,Dog Friendly,4
Labernese, All Around Friendliness,Friendly Toward Strangers,3
Labernese, Health And Grooming Needs,Amount Of Shedding,4
Labernese, Health And Grooming Needs,Drooling Potential,3
Labernese, Health And Grooming Needs,Easy To Groom,3
Labernese, Health And Grooming Needs,General Health,2
Labernese, Health And Grooming Needs,Potential For Weight Gain,4
Labernese, Health And Grooming Needs,Size,4
Labernese, Trainability,Easy To Train,3
Labernese, Trainability,Intelligence,4
Labernese, Trainability,Potential For Mouthiness,3
Labernese, Trainability,Prey Drive,3
Labernese, Trainability,Tendency To Bark Or Howl,2
Labernese, Trainability,Wanderlust Potential,4
Labernese, Physical Needs,Energy Level,4
Labernese, Physical Needs,Intensity,2
Labernese, Physical Needs,Exercise Needs,4
Labernese, Physical Needs,Potential For Playfulness,5
Jack Chi, Adaptability,Adapts Well To Apartment Living,4
Jack Chi, Adaptability,Good For Novice Owners,2
Jack Chi, Adaptability,Sensitivity Level,3
Jack Chi, Adaptability,Tolerates Being Alone,3
Jack Chi, Adaptability,Tolerates Cold Weather,2
Jack Chi, Adaptability,Tolerates Hot Weather,4
Jack Chi, All Around Friendliness,Affectionate With Family,4
Jack Chi, All Around Friendliness,Kid-Friendly,5
Jack Chi, All Around Friendliness,Dog Friendly,4
Jack Chi, All Around Friendliness,Friendly Toward Strangers,3
Jack Chi, Health And Grooming Needs,Amount Of Shedding,2
Jack Chi, Health And Grooming Needs,Drooling Potential,2
Jack Chi, Health And Grooming Needs,Easy To Groom,5
Jack Chi, Health And Grooming Needs,General Health,4
Jack Chi, Health And Grooming Needs,Potential For Weight Gain,4
Jack Chi, Health And Grooming Needs,Size,2
Jack Chi, Trainability,Easy To Train,2
Jack Chi, Trainability,Intelligence,4
Jack Chi, Trainability,Potential For Mouthiness,2
Jack Chi, Trainability,Prey Drive,4
Jack Chi, Trainability,Tendency To Bark Or Howl,2
Jack Chi, Trainability,Wanderlust Potential,4
Jack Chi, Physical Needs,Energy Level,4
Jack Chi, Physical Needs,Intensity,4
Jack Chi, Physical Needs,Exercise Needs,4
Jack Chi, Physical Needs,Potential For Playfulness,5
Jack-A-Poo, Adaptability,Adapts Well To Apartment Living,4
Jack-A-Poo, Adaptability,Good For Novice Owners,4
Jack-A-Poo, Adaptability,Sensitivity Level,4
Jack-A-Poo, Adaptability,Tolerates Being Alone,2
Jack-A-Poo, Adaptability,Tolerates Cold Weather,4
Jack-A-Poo, Adaptability,Tolerates Hot Weather,4
Jack-A-Poo, All Around Friendliness,Affectionate With Family,5
Jack-A-Poo, All Around Friendliness,Kid-Friendly,5
Jack-A-Poo, All Around Friendliness,Dog Friendly,5
Jack-A-Poo, All Around Friendliness,Friendly Toward Strangers,4
Jack-A-Poo, Health And Grooming Needs,Amount Of Shedding,2
Jack-A-Poo, Health And Grooming Needs,Drooling Potential,1
Jack-A-Poo, Health And Grooming Needs,Easy To Groom,2
Jack-A-Poo, Health And Grooming Needs,General Health,3
Jack-A-Poo, Health And Grooming Needs,Potential For Weight Gain,4
Jack-A-Poo, Health And Grooming Needs,Size,2
Jack-A-Poo, Trainability,Easy To Train,4
Jack-A-Poo, Trainability,Intelligence,5
Jack-A-Poo, Trainability,Potential For Mouthiness,4
Jack-A-Poo, Trainability,Prey Drive,4
Jack-A-Poo, Trainability,Tendency To Bark Or Howl,3
Jack-A-Poo, Trainability,Wanderlust Potential,4
Jack-A-Poo, Physical Needs,Energy Level,5
Jack-A-Poo, Physical Needs,Intensity,4
Jack-A-Poo, Physical Needs,Exercise Needs,5
Jack-A-Poo, Physical Needs,Potential For Playfulness,5
Kuvasz, Adaptability,Adapts Well To Apartment Living,1
Kuvasz, Adaptability,Good For Novice Owners,1
Kuvasz, Adaptability,Sensitivity Level,5
Kuvasz, Adaptability,Tolerates Being Alone,1
Kuvasz, Adaptability,Tolerates Cold Weather,5
Kuvasz, Adaptability,Tolerates Hot Weather,2
Kuvasz, All Around Friendliness,Affectionate With Family,5
Kuvasz, All Around Friendliness,Kid-Friendly,1
Kuvasz, All Around Friendliness,Dog Friendly,2
Kuvasz, All Around Friendliness,Friendly Toward Strangers,1
Kuvasz, Health And Grooming Needs,Amount Of Shedding,4
Kuvasz, Health And Grooming Needs,Drooling Potential,3
Kuvasz, Health And Grooming Needs,Easy To Groom,4
Kuvasz, Health And Grooming Needs,General Health,4
Kuvasz, Health And Grooming Needs,Potential For Weight Gain,4
Kuvasz, Health And Grooming Needs,Size,5
Kuvasz, Trainability,Easy To Train,2
Kuvasz, Trainability,Intelligence,4
Kuvasz, Trainability,Potential For Mouthiness,1
Kuvasz, Trainability,Prey Drive,1
Kuvasz, Trainability,Tendency To Bark Or Howl,3
Kuvasz, Trainability,Wanderlust Potential,3
Kuvasz, Physical Needs,Energy Level,4
Kuvasz, Physical Needs,Intensity,4
Kuvasz, Physical Needs,Exercise Needs,5
Kuvasz, Physical Needs,Potential For Playfulness,4
Italian Greyhound, Adaptability,Adapts Well To Apartment Living,5
Italian Greyhound, Adaptability,Good For Novice Owners,5
Italian Greyhound, Adaptability,Sensitivity Level,5
Italian Greyhound, Adaptability,Tolerates Being Alone,1
Italian Greyhound, Adaptability,Tolerates Cold Weather,1
Italian Greyhound, Adaptability,Tolerates Hot Weather,3
Italian Greyhound, All Around Friendliness,Affectionate With Family,5
Italian Greyhound, All Around Friendliness,Kid-Friendly,5
Italian Greyhound, All Around Friendliness,Dog Friendly,4
Italian Greyhound, All Around Friendliness,Friendly Toward Strangers,4
Italian Greyhound, Health And Grooming Needs,Amount Of Shedding,2
Italian Greyhound, Health And Grooming Needs,Drooling Potential,1
Italian Greyhound, Health And Grooming Needs,Easy To Groom,5
Italian Greyhound, Health And Grooming Needs,General Health,3
Italian Greyhound, Health And Grooming Needs,Potential For Weight Gain,2
Italian Greyhound, Health And Grooming Needs,Size,2
Italian Greyhound, Trainability,Easy To Train,3
Italian Greyhound, Trainability,Intelligence,3
Italian Greyhound, Trainability,Potential For Mouthiness,4
Italian Greyhound, Trainability,Prey Drive,5
Italian Greyhound, Trainability,Tendency To Bark Or Howl,3
Italian Greyhound, Trainability,Wanderlust Potential,3
Italian Greyhound, Physical Needs,Energy Level,4
Italian Greyhound, Physical Needs,Intensity,2
Italian Greyhound, Physical Needs,Exercise Needs,4
Italian Greyhound, Physical Needs,Potential For Playfulness,4
Irish Wolfhound, Adaptability,Adapts Well To Apartment Living,1
Irish Wolfhound, Adaptability,Good For Novice Owners,2
Irish Wolfhound, Adaptability,Sensitivity Level,3
Irish Wolfhound, Adaptability,Tolerates Being Alone,2
Irish Wolfhound, Adaptability,Tolerates Cold Weather,4
Irish Wolfhound, Adaptability,Tolerates Hot Weather,2
Irish Wolfhound, All Around Friendliness,Affectionate With Family,5
Irish Wolfhound, All Around Friendliness,Kid-Friendly,5
Irish Wolfhound, All Around Friendliness,Dog Friendly,5
Irish Wolfhound, All Around Friendliness,Friendly Toward Strangers,5
Irish Wolfhound, Health And Grooming Needs,Amount Of Shedding,3
Irish Wolfhound, Health And Grooming Needs,Drooling Potential,1
Irish Wolfhound, Health And Grooming Needs,Easy To Groom,3
Irish Wolfhound, Health And Grooming Needs,General Health,1
Irish Wolfhound, Health And Grooming Needs,Potential For Weight Gain,3
Irish Wolfhound, Health And Grooming Needs,Size,5
Irish Wolfhound, Trainability,Easy To Train,3
Irish Wolfhound, Trainability,Intelligence,4
Irish Wolfhound, Trainability,Potential For Mouthiness,3
Irish Wolfhound, Trainability,Prey Drive,5
Irish Wolfhound, Trainability,Tendency To Bark Or Howl,1
Irish Wolfhound, Trainability,Wanderlust Potential,3
Irish Wolfhound, Physical Needs,Energy Level,2
Irish Wolfhound, Physical Needs,Intensity,2
Irish Wolfhound, Physical Needs,Exercise Needs,4
Irish Wolfhound, Physical Needs,Potential For Playfulness,4
Irish Setter, Adaptability,Adapts Well To Apartment Living,1
Irish Setter, Adaptability,Good For Novice Owners,3
Irish Setter, Adaptability,Sensitivity Level,4
Irish Setter, Adaptability,Tolerates Being Alone,2
Irish Setter, Adaptability,Tolerates Cold Weather,4
Irish Setter, Adaptability,Tolerates Hot Weather,3
Irish Setter, All Around Friendliness,Affectionate With Family,5
Irish Setter, All Around Friendliness,Kid-Friendly,5
Irish Setter, All Around Friendliness,Dog Friendly,5
Irish Setter, All Around Friendliness,Friendly Toward Strangers,5
Irish Setter, Health And Grooming Needs,Amount Of Shedding,4
Irish Setter, Health And Grooming Needs,Drooling Potential,2
Irish Setter, Health And Grooming Needs,Easy To Groom,3
Irish Setter, Health And Grooming Needs,General Health,2
Irish Setter, Health And Grooming Needs,Potential For Weight Gain,3
Irish Setter, Health And Grooming Needs,Size,4
Irish Setter, Trainability,Easy To Train,4
Irish Setter, Trainability,Intelligence,5
Irish Setter, Trainability,Potential For Mouthiness,5
Irish Setter, Trainability,Prey Drive,5
Irish Setter, Trainability,Tendency To Bark Or Howl,4
Irish Setter, Trainability,Wanderlust Potential,5
Irish Setter, Physical Needs,Energy Level,5
Irish Setter, Physical Needs,Intensity,3
Irish Setter, Physical Needs,Exercise Needs,5
Irish Setter, Physical Needs,Potential For Playfulness,5
Kishu Ken, Adaptability,Adapts Well To Apartment Living,3
Kishu Ken, Adaptability,Good For Novice Owners,2
Kishu Ken, Adaptability,Sensitivity Level,3
Kishu Ken, Adaptability,Tolerates Being Alone,3
Kishu Ken, Adaptability,Tolerates Cold Weather,5
Kishu Ken, Adaptability,Tolerates Hot Weather,3
Kishu Ken, All Around Friendliness,Affectionate With Family,3
Kishu Ken, All Around Friendliness,Kid-Friendly,3
Kishu Ken, All Around Friendliness,Dog Friendly,2
Kishu Ken, All Around Friendliness,Friendly Toward Strangers,2
Kishu Ken, Health And Grooming Needs,Amount Of Shedding,4
Kishu Ken, Health And Grooming Needs,Drooling Potential,2
Kishu Ken, Health And Grooming Needs,Easy To Groom,3
Kishu Ken, Health And Grooming Needs,General Health,4
Kishu Ken, Health And Grooming Needs,Potential For Weight Gain,3
Kishu Ken, Health And Grooming Needs,Size,3
Kishu Ken, Trainability,Easy To Train,4
Kishu Ken, Trainability,Intelligence,5
Kishu Ken, Trainability,Potential For Mouthiness,2
Kishu Ken, Trainability,Prey Drive,4
Kishu Ken, Trainability,Tendency To Bark Or Howl,1
Kishu Ken, Trainability,Wanderlust Potential,2
Kishu Ken, Physical Needs,Energy Level,3
Kishu Ken, Physical Needs,Intensity,3
Kishu Ken, Physical Needs,Exercise Needs,4
Kishu Ken, Physical Needs,Potential For Playfulness,2
Ibizan Hound, Adaptability,Adapts Well To Apartment Living,5
Ibizan Hound, Adaptability,Good For Novice Owners,3
Ibizan Hound, Adaptability,Sensitivity Level,4
Ibizan Hound, Adaptability,Tolerates Being Alone,2
Ibizan Hound, Adaptability,Tolerates Cold Weather,1
Ibizan Hound, Adaptability,Tolerates Hot Weather,4
Ibizan Hound, All Around Friendliness,Affectionate With Family,5
Ibizan Hound, All Around Friendliness,Kid-Friendly,5
Ibizan Hound, All Around Friendliness,Dog Friendly,5
Ibizan Hound, All Around Friendliness,Friendly Toward Strangers,4
Ibizan Hound, Health And Grooming Needs,Amount Of Shedding,3
Ibizan Hound, Health And Grooming Needs,Drooling Potential,1
Ibizan Hound, Health And Grooming Needs,Easy To Groom,5
Ibizan Hound, Health And Grooming Needs,General Health,4
Ibizan Hound, Health And Grooming Needs,Potential For Weight Gain,1
Ibizan Hound, Health And Grooming Needs,Size,3
Ibizan Hound, Trainability,Easy To Train,3
Ibizan Hound, Trainability,Intelligence,4
Ibizan Hound, Trainability,Potential For Mouthiness,3
Ibizan Hound, Trainability,Prey Drive,5
Ibizan Hound, Trainability,Tendency To Bark Or Howl,2
Ibizan Hound, Trainability,Wanderlust Potential,5
Ibizan Hound, Physical Needs,Energy Level,5
Ibizan Hound, Physical Needs,Intensity,3
Ibizan Hound, Physical Needs,Exercise Needs,5
Ibizan Hound, Physical Needs,Potential For Playfulness,5
Komondor, Adaptability,Adapts Well To Apartment Living,2
Komondor, Adaptability,Good For Novice Owners,1
Komondor, Adaptability,Sensitivity Level,4
Komondor, Adaptability,Tolerates Being Alone,1
Komondor, Adaptability,Tolerates Cold Weather,4
Komondor, Adaptability,Tolerates Hot Weather,3
Komondor, All Around Friendliness,Affectionate With Family,5
Komondor, All Around Friendliness,Kid-Friendly,3
Komondor, All Around Friendliness,Dog Friendly,1
Komondor, All Around Friendliness,Friendly Toward Strangers,1
Komondor, Health And Grooming Needs,Amount Of Shedding,3
Komondor, Health And Grooming Needs,Drooling Potential,2
Komondor, Health And Grooming Needs,Easy To Groom,2
Komondor, Health And Grooming Needs,General Health,2
Komondor, Health And Grooming Needs,Potential For Weight Gain,3
Komondor, Health And Grooming Needs,Size,4
Komondor, Trainability,Easy To Train,4
Komondor, Trainability,Intelligence,4
Komondor, Trainability,Potential For Mouthiness,3
Komondor, Trainability,Prey Drive,2
Komondor, Trainability,Tendency To Bark Or Howl,5
Komondor, Trainability,Wanderlust Potential,4
Komondor, Physical Needs,Energy Level,2
Komondor, Physical Needs,Intensity,1
Komondor, Physical Needs,Exercise Needs,4
Komondor, Physical Needs,Potential For Playfulness,4
Huskita, Adaptability,Adapts Well To Apartment Living,2
Huskita, Adaptability,Good For Novice Owners,1
Huskita, Adaptability,Sensitivity Level,4
Huskita, Adaptability,Tolerates Being Alone,1
Huskita, Adaptability,Tolerates Cold Weather,5
Huskita, Adaptability,Tolerates Hot Weather,3
Huskita, All Around Friendliness,Affectionate With Family,5
Huskita, All Around Friendliness,Kid-Friendly,2
